route_id,route_short_name,route_long_name,direction_id,seq,stop_id,station_id,stop_name,lat,lon,km,length_km,cor_metro,cor_metro_ligero,cor_aeropuerto,cor_bus,cor_tren_ld
10T0007C3,C3,Chamartín - Clara Campoamor             -Aranjuez,1,0,17000,17000,Madrid-Chamartín-Clara Campoamor,40.471179,-3.682952,0.000,53.119,1 10,,,,TRUE
10T0007C3,C3,Chamartín - Clara Campoamor             -Aranjuez,1,1,18002,18002,Madrid-Nuevos Ministerios,40.446627,-3.692347,2.843,53.119,6 8 10,,,,
10T0007C3,C3,Chamartín - Clara Campoamor             -Aranjuez,1,2,18101,18101,Sol,40.416866,-3.702876,6.271,53.119,1 2 3 5,,,,
10T0007C3,C3,Chamartín - Clara Campoamor             -Aranjuez,1,3,18000,18000,Madrid-Atocha Cercanías,40.406619,-3.689439,7.881,53.119,1,,,,TRUE
10T0007C3,C3,Chamartín - Clara Campoamor             -Aranjuez,1,4,60100,60100,Madrid-Villaverde Bajo,40.352676,-3.683898,13.897,53.119,,,,,
10T0007C3,C3,Chamartín - Clara Campoamor             -Aranjuez,1,5,60107,60107,San Cristóbal De Los ángeles,40.342414,-3.683979,15.038,53.119,,,,,
10T0007C3,C3,Chamartín - Clara Campoamor             -Aranjuez,1,6,60101,60101,San Cristóbal Industrial,40.331859,-3.698960,16.767,53.119,,,,,
10T0007C3,C3,Chamartín - Clara Campoamor             -Aranjuez,1,7,60109,60109,El Casar,40.318522,-3.709806,18.512,53.119,3 12,,,,
10T0007C3,C3,Chamartín - Clara Campoamor             -Aranjuez,1,8,60102,60102,Getafe-Industrial,40.305718,-3.707836,19.946,53.119,,,,,
10T0007C3,C3,Chamartín - Clara Campoamor             -Aranjuez,1,9,60103,60103,Pinto,40.242855,-3.703530,26.945,53.119,,,,,
10T0007C3,C3,Chamartín - Clara Campoamor             -Aranjuez,1,10,60104,60104,Valdemoro,40.196078,-3.664937,33.093,53.119,,,,,
10T0007C3,C3,Chamartín - Clara Campoamor             -Aranjuez,1,11,60105,60105,Ciempozuelos,40.159201,-3.610185,39.294,53.119,,,,,
10T0007C3,C3,Chamartín - Clara Campoamor             -Aranjuez,1,12,60200,60200,Aranjuez,40.035026,-3.618253,53.119,53.119,,,,,
10T0008C3,C3,Aranjuez                                -Chamartín - Clara Campoamor,0,0,60200,60200,Aranjuez,40.035026,-3.618253,0.000,53.119,,,,,
10T0008C3,C3,Aranjuez                                -Chamartín - Clara Campoamor,0,1,60105,60105,Ciempozuelos,40.159201,-3.610185,13.825,53.119,,,,,
10T0008C3,C3,Aranjuez                                -Chamartín - Clara Campoamor,0,2,60104,60104,Valdemoro,40.196078,-3.664937,20.026,53.119,,,,,
10T0008C3,C3,Aranjuez                                -Chamartín - Clara Campoamor,0,3,60103,60103,Pinto,40.242855,-3.703530,26.173,53.119,,,,,
10T0008C3,C3,Aranjuez                                -Chamartín - Clara Campoamor,0,4,60102,60102,Getafe-Industrial,40.305718,-3.707836,33.173,53.119,,,,,
10T0008C3,C3,Aranjuez                                -Chamartín - Clara Campoamor,0,5,60109,60109,El Casar,40.318522,-3.709806,34.606,53.119,3 12,,,,
10T0008C3,C3,Aranjuez                                -Chamartín - Clara Campoamor,0,6,60101,60101,San Cristóbal Industrial,40.331859,-3.698960,36.351,53.119,,,,,
10T0008C3,C3,Aranjuez                                -Chamartín - Clara Campoamor,0,7,60107,60107,San Cristóbal De Los ángeles,40.342414,-3.683979,38.080,53.119,,,,,
10T0008C3,C3,Aranjuez                                -Chamartín - Clara Campoamor,0,8,60100,60100,Madrid-Villaverde Bajo,40.352676,-3.683898,39.221,53.119,,,,,
10T0008C3,C3,Aranjuez                                -Chamartín - Clara Campoamor,0,9,18000,18000,Madrid-Atocha Cercanías,40.406619,-3.689439,45.238,53.119,1,,,,TRUE
10T0008C3,C3,Aranjuez                                -Chamartín - Clara Campoamor,0,10,18101,18101,Sol,40.416866,-3.702876,46.848,53.119,1 2 3 5,,,,
10T0008C3,C3,Aranjuez                                -Chamartín - Clara Campoamor,0,11,18002,18002,Madrid-Nuevos Ministerios,40.446627,-3.692347,50.275,53.119,6 8 10,,,,
10T0008C3,C3,Aranjuez                                -Chamartín - Clara Campoamor,0,12,17000,17000,Madrid-Chamartín-Clara Campoamor,40.471179,-3.682952,53.119,53.119,1 10,,,,TRUE
10T0011C4,C4,Chamartín - Clara Campoamor             -Parla,0,0,17000,17000,Madrid-Chamartín-Clara Campoamor,40.471179,-3.682952,0.000,28.914,1 10,,,,TRUE
10T0011C4,C4,Chamartín - Clara Campoamor             -Parla,0,1,18002,18002,Madrid-Nuevos Ministerios,40.446627,-3.692347,2.843,28.914,6 8 10,,,,
10T0011C4,C4,Chamartín - Clara Campoamor             -Parla,0,2,18101,18101,Sol,40.416866,-3.702876,6.271,28.914,1 2 3 5,,,,
10T0011C4,C4,Chamartín - Clara Campoamor             -Parla,0,3,18000,18000,Madrid-Atocha Cercanías,40.406619,-3.689439,7.881,28.914,1,,,,TRUE
10T0011C4,C4,Chamartín - Clara Campoamor             -Parla,0,4,60100,60100,Madrid-Villaverde Bajo,40.352676,-3.683898,13.897,28.914,,,,,
10T0011C4,C4,Chamartín - Clara Campoamor             -Parla,0,5,37001,37001,Madrid-Villaverde Alto,40.341589,-3.712351,16.605,28.914,3,,,,
10T0011C4,C4,Chamartín - Clara Campoamor             -Parla,0,6,37010,37010,Las Margaritas,40.323099,-3.727286,19.020,28.914,,,,,
10T0011C4,C4,Chamartín - Clara Campoamor             -Parla,0,7,37002,37002,Getafe-Centro,40.310004,-3.733988,20.583,28.914,12,,,,
10T0011C4,C4,Chamartín - Clara Campoamor             -Parla,0,8,37011,37011,Getafe-Sector 3,40.288389,-3.737499,23.005,28.914,,,,,
10T0011C4,C4,Chamartín - Clara Campoamor             -Parla,0,9,37012,37012,Parla,40.241099,-3.769270,28.914,28.914,,4,,,
10T0012C4,C4,Parla                                   -Chamartín - Clara Campoamor,1,0,37012,37012,Parla,40.241099,-3.769270,0.000,28.914,,4,,,
10T0012C4,C4,Parla                                   -Chamartín - Clara Campoamor,1,1,37011,37011,Getafe-Sector 3,40.288389,-3.737499,5.909,28.914,,,,,
10T0012C4,C4,Parla                                   -Chamartín - Clara Campoamor,1,2,37002,37002,Getafe-Centro,40.310004,-3.733988,8.331,28.914,12,,,,
10T0012C4,C4,Parla                                   -Chamartín - Clara Campoamor,1,3,37010,37010,Las Margaritas,40.323099,-3.727286,9.894,28.914,,,,,
10T0012C4,C4,Parla                                   -Chamartín - Clara Campoamor,1,4,37001,37001,Madrid-Villaverde Alto,40.341589,-3.712351,12.309,28.914,3,,,,
10T0012C4,C4,Parla                                   -Chamartín - Clara Campoamor,1,5,60100,60100,Madrid-Villaverde Bajo,40.352676,-3.683898,15.017,28.914,,,,,
10T0012C4,C4,Parla                                   -Chamartín - Clara Campoamor,1,6,18000,18000,Madrid-Atocha Cercanías,40.406619,-3.689439,21.033,28.914,1,,,,TRUE
10T0012C4,C4,Parla                                   -Chamartín - Clara Campoamor,1,7,18101,18101,Sol,40.416866,-3.702876,22.643,28.914,1 2 3 5,,,,
10T0012C4,C4,Parla                                   -Chamartín - Clara Campoamor,1,8,18002,18002,Madrid-Nuevos Ministerios,40.446627,-3.692347,26.071,28.914,6 8 10,,,,
10T0012C4,C4,Parla                                   -Chamartín - Clara Campoamor,1,9,17000,17000,Madrid-Chamartín-Clara Campoamor,40.471179,-3.682952,28.914,28.914,1 10,,,,TRUE
10T0013C4a,C4a,Alcobendas-S.Sebast. de los Reyes       -Parla,0,0,19003,19003,Alcobendas-San Sebastián De Los Reyes,40.546577,-3.635173,0.000,43.221,,,,,
10T0013C4a,C4a,Alcobendas-S.Sebast. de los Reyes       -Parla,0,1,19002,19002,Valdelasfuentes,40.547434,-3.654324,1.621,43.221,,,,,
10T0013C4a,C4a,Alcobendas-S.Sebast. de los Reyes       -Parla,0,2,19001,19001,Universidad Pontificia De Comillas,40.553970,-3.683700,4.207,43.221,,,,,
10T0013C4a,C4a,Alcobendas-S.Sebast. de los Reyes       -Parla,0,3,17009,17009,Universidad-Cantoblanco,40.543842,-3.700155,5.996,43.221,,,,,
10T0013C4a,C4a,Alcobendas-S.Sebast. de los Reyes       -Parla,0,4,17001,17001,Fuencarral,40.501560,-3.682504,10.929,43.221,,,,,
10T0013C4a,C4a,Alcobendas-S.Sebast. de los Reyes       -Parla,0,5,17000,17000,Madrid-Chamartín-Clara Campoamor,40.471179,-3.682952,14.307,43.221,1 10,,,,TRUE
10T0013C4a,C4a,Alcobendas-S.Sebast. de los Reyes       -Parla,0,6,18002,18002,Madrid-Nuevos Ministerios,40.446627,-3.692347,17.151,43.221,6 8 10,,,,
10T0013C4a,C4a,Alcobendas-S.Sebast. de los Reyes       -Parla,0,7,18101,18101,Sol,40.416866,-3.702876,20.578,43.221,1 2 3 5,,,,
10T0013C4a,C4a,Alcobendas-S.Sebast. de los Reyes       -Parla,0,8,18000,18000,Madrid-Atocha Cercanías,40.406619,-3.689439,22.188,43.221,1,,,,TRUE
10T0013C4a,C4a,Alcobendas-S.Sebast. de los Reyes       -Parla,0,9,60100,60100,Madrid-Villaverde Bajo,40.352676,-3.683898,28.205,43.221,,,,,
10T0013C4a,C4a,Alcobendas-S.Sebast. de los Reyes       -Parla,0,10,37001,37001,Madrid-Villaverde Alto,40.341589,-3.712351,30.913,43.221,3,,,,
10T0013C4a,C4a,Alcobendas-S.Sebast. de los Reyes       -Parla,0,11,37010,37010,Las Margaritas,40.323099,-3.727286,33.327,43.221,,,,,
10T0013C4a,C4a,Alcobendas-S.Sebast. de los Reyes       -Parla,0,12,37002,37002,Getafe-Centro,40.310004,-3.733988,34.890,43.221,12,,,,
10T0013C4a,C4a,Alcobendas-S.Sebast. de los Reyes       -Parla,0,13,37011,37011,Getafe-Sector 3,40.288389,-3.737499,37.312,43.221,,,,,
10T0013C4a,C4a,Alcobendas-S.Sebast. de los Reyes       -Parla,0,14,37012,37012,Parla,40.241099,-3.769270,43.221,43.221,,4,,,
10T0014C4a,C4a,Parla                                   -Alcobendas-S.Sebast. de los Reyes,1,0,37012,37012,Parla,40.241099,-3.769270,0.000,43.221,,4,,,
10T0014C4a,C4a,Parla                                   -Alcobendas-S.Sebast. de los Reyes,1,1,37011,37011,Getafe-Sector 3,40.288389,-3.737499,5.909,43.221,,,,,
10T0014C4a,C4a,Parla                                   -Alcobendas-S.Sebast. de los Reyes,1,2,37002,37002,Getafe-Centro,40.310004,-3.733988,8.331,43.221,12,,,,
10T0014C4a,C4a,Parla                                   -Alcobendas-S.Sebast. de los Reyes,1,3,37010,37010,Las Margaritas,40.323099,-3.727286,9.894,43.221,,,,,
10T0014C4a,C4a,Parla                                   -Alcobendas-S.Sebast. de los Reyes,1,4,37001,37001,Madrid-Villaverde Alto,40.341589,-3.712351,12.309,43.221,3,,,,
10T0014C4a,C4a,Parla                                   -Alcobendas-S.Sebast. de los Reyes,1,5,60100,60100,Madrid-Villaverde Bajo,40.352676,-3.683898,15.017,43.221,,,,,
10T0014C4a,C4a,Parla                                   -Alcobendas-S.Sebast. de los Reyes,1,6,18000,18000,Madrid-Atocha Cercanías,40.406619,-3.689439,21.033,43.221,1,,,,TRUE
10T0014C4a,C4a,Parla                                   -Alcobendas-S.Sebast. de los Reyes,1,7,18101,18101,Sol,40.416866,-3.702876,22.643,43.221,1 2 3 5,,,,
10T0014C4a,C4a,Parla                                   -Alcobendas-S.Sebast. de los Reyes,1,8,18002,18002,Madrid-Nuevos Ministerios,40.446627,-3.692347,26.071,43.221,6 8 10,,,,
10T0014C4a,C4a,Parla                                   -Alcobendas-S.Sebast. de los Reyes,1,9,17000,17000,Madrid-Chamartín-Clara Campoamor,40.471179,-3.682952,28.914,43.221,1 10,,,,TRUE
10T0014C4a,C4a,Parla                                   -Alcobendas-S.Sebast. de los Reyes,1,10,17001,17001,Fuencarral,40.501560,-3.682504,32.292,43.221,,,,,
10T0014C4a,C4a,Parla                                   -Alcobendas-S.Sebast. de los Reyes,1,11,17009,17009,Universidad-Cantoblanco,40.543842,-3.700155,37.225,43.221,,,,,
10T0014C4a,C4a,Parla                                   -Alcobendas-S.Sebast. de los Reyes,1,12,19001,19001,Universidad Pontificia De Comillas,40.553970,-3.683700,39.014,43.221,,,,,
10T0014C4a,C4a,Parla                                   -Alcobendas-S.Sebast. de los Reyes,1,13,19002,19002,Valdelasfuentes,40.547434,-3.654324,41.600,43.221,,,,,
