nombre,cod_depend,cod_tramo,cod_tipo_d,cod_estado,cod_munici,direccion,codigo_pos,cod_titula,utm_x,utm_y,v_desde,id_provinc
TOTANA,"06003","033220020",T,EX,"300392",,"30850",AD,632507.9017,4180638.6326,1,30
LA HOYA,"06004","033220020",T,EX,"300243",,"30816",AD,623819.143,4173868.8187,1,30
LORCA-SAN DIEGO (APD),"06005","033220020",D,EX,"300243",,"30800",AD,615898.3868,4171200.5953,1,30
PUERTO LUMBRERAS (APD),"06007","033220030",P,EX,"300336",,"30890",AD,611968.7855,4160083.1537,1,30
PULPI (APD),"07001","033220040",P,EX,"040754",,"04640",AD,610684.672,4139894.7455,1,4
AGUILAS-EL LABRADORCICO (APD),"07007","033220050",P,EX,"300032",,"30880",AD,625145.7639,4141500.1378,1,30
SAX,"60904","033300025",T,EX,"031231",,"03630",AD,690487.303,4268526.5628,1,3
ELDA-PETRER,"60905","033300025",T,EX,"030664",,"03600",AD,691793.1251,4261913.362,1,3
MONOVAR-PINOSO,"60906","033300025",T,EX,"030664",,"03600",AD,690550.1367,4257043.4716,1,3
MALPARTIDA DE PLASENCIA,"35210","055000130",Y,FS,"101164",,"10680",AD,242100.1507,4426175.0219,1,10
LOS PRADOS,"54502","044360030",Y,FS,"290672",,"29006",AD,368099.3888,4062453.7597,1,29
GUADALHORCE (APD),"54503","044360030",P,EX,"290672",,"29004",AD,367450.0764,4061733.772,1,29
TERMINAL DE CARGA,"54504","044360030",Y,FS,"290672",,"29004",AD,366552.0604,4060367.093,4,29
AEROPUERTO (APD),"54505","044360030",P,EX,"290672",,"29004",AD,367128.4918,4059912.7376,4,29
SAN JULIAN (APD),"54506","044360030",Y,FS,"290672",,"29004",AD,367818.9552,4058634.0862,1,29
PLAZA MAYOR (APD),"54520","044360030",P,EX,"290672",,"29004",AD,367692.4647,4057752.3439,1,29
CAMPO DE GOLF-CAMPAMENTO (APD),"54507","044360030",Y,FS,"290672",,"29004",AD,367417.9956,4057070.7184,1,29
BENALMADENA-ARROYO DE LA MIEL,"54511","044360030",T,EX,"290252",,"29639",AD,362585.6208,4051494.0402,1,29
BELMONTE (APD),"42019","045120050",P,EX,"210353",,"21500",AD,150825.8675,4153430.7978,1,21
LA PALMA DEL CONDADO,"43011","044400050",E,EX,"210545",,"21700",AD,185313.4048,4144140.2754,1,21
HUELVA-MERCANCIAS,"43023","044400060",E,EX,"210412",,"21007",AD,153271.9429,4131817.7632,1,21
HUELVA,"43019","044400080",E,EX,"210412",,"21003",AD,150202.1675,4130186.7105,57,21
CABAÑAS DE EBRO,"81209","017000010",A,EX,"500649",,"50638",AD,652264.3007,4627868.6431,1,50
CORTES DE NAVARRA,"81205","017000020",T,EX,"310787",,"31530",AD,631003.3608,4641525.7018,1,31
TUDELA DE NAVARRA,"81202","017000030",E,EX,"312325","Plaza de la estación, s/n","31500",AD,616016.7444,4657324.8298,1,31
SEGUR DE CALAFELL (APD),"71602","022000480",P,EX,"430379",,"43882",AD,886335.9568,4570371.911,1,43
EL PRIORATO,"50508","044000180",T,EX,"410554",,"41440",AD,285448.0348,4174231.8105,1,41
EL CATLLAR (APD),"72003","022340020",F,FS,"430430",,"43764",AD,863883.659,4567384.3347,1,43
LA RIERA DE GAIA (APD),"72004","022340020",F,FS,"431264",,"43762",AD,866338.7509,4566811.7906,1,43
